	name	lenght	energy	x	y	z	dx	dy	dz	
	10	100000000.0	
	Epair	75.88307908628421	99998755.66457856	6.668145747209509e-06	-2.998772751726174e-06	-75.88307908628386	1.439109165718652e-07	-2.0012767596549682e-07	-0.9999999999999696	
	Epair	347.5188486141646	99996251.83663586	-7.125558307841282e-05	-0.00010307319981310943	-347.5188486141345	-5.418763149319557e-07	-2.910294533338124e-07	-0.9999999999998106	
	Epair	391.82247552440396	99991848.67426342	-9.539703182809212e-05	-0.00011503898141074171	-391.8224755243657	-7.017296186134963e-07	-3.5733947111277596e-07	-0.9999999999996897	
	Epair	403.60511523679287	99979022.56666875	-0.00010406557924841581	-0.00011928003964861195	-403.60511523675063	-7.042205349201864e-07	-3.335304338901588e-07	-0.9999999999996961	
	Epair	544.0545367500531	99949861.10293767	-0.00015754051153585267	-0.00016289721130547272	-544.0545367499938	-3.951858570155197e-07	-1.0930509662932746e-07	-0.9999999999999156	
	Epair	676.2232142275562	99948553.61162786	-0.0002513397128413514	-0.00018307153337258157	-676.223214227462	-8.64316187298453e-07	-2.2131144550265867e-07	-0.9999999999996017	
	Epair	1045.9872478558468	99933920.95857316	-0.000539205919245187	-0.0003226451245578588	-1045.9872478556142	-2.5128307414167774e-07	-2.062958219648317e-07	-0.9999999999999467	
	Epair	1465.2665824903893	98887006.63186456	-0.0008745987338607229	-0.0005674466333101664	-1465.266582489951	-9.124016048571525e-07	-1.1332315199778418e-06	-0.9999999999989412	
	Epair	1669.0260852196338	98796020.95903559	-0.0010545642772843333	-0.0008428955008556792	-1669.0260852189297	-7.140922226066346e-07	-1.7026395925289942e-06	-0.999999999998295	
	Epair	2436.029819152606	98792877.64047448	-0.0016037192707805971	-0.00273669322904583	-2436.0298191493666	-7.418632935302835e-07	-3.1311324513838936e-06	-0.9999999999948223	
	Epair	3597.2080146365884	98621676.77127887	-0.0017093509944006958	-0.006651240948438816	-3597.2080146267454	-3.4752405783275587e-07	-4.091513759383217e-06	-0.9999999999915689	
	Epair	3737.2903086692404	98620436.827742	-0.0017427538384229995	-0.007200035382555849	-3737.2903086583183	-1.7006338681560917e-07	-3.6866064583719177e-06	-0.9999999999931896	
	Epair	4033.7833529726718	98611856.68008524	-0.001756321926829975	-0.008363683275483725	-4033.783352959466	-2.59712860022568e-07	-3.814641249340614e-06	-0.9999999999926901	
	Epair	4606.511702889309	98609195.11932242	-0.0015931540476051657	-0.010549113029812167	-4606.51170287191	1.7133819034535343e-07	-3.876543251267622e-06	-0.999999999992471	
	Epair	4765.138866904798	98546995.05491763	-0.0015687155511492328	-0.011157913550320944	-4765.138866886229	7.128833591084336e-08	-3.830189730187417e-06	-0.9999999999926618	
	Epair	5183.915791522387	98542496.08641616	-0.0016251408151544012	-0.012757582161112105	-5183.915791500758	-8.668377464923675e-08	-3.6232331023517113e-06	-0.9999999999934317	
	NuclInt	5184.980729619011	98536656.87522526	-0.0016252602564787487	-0.01276144231123444	-5184.980729597375	-1.1993114013923887e-07	-3.6272148995730798e-06	-0.9999999999934138	
	Epair	5569.008613809739	98503254.74914472	-0.0018056365638111321	-0.014152646961197333	-5569.00861378554	-2.2566196153675693e-07	-3.719601287098153e-06	-0.9999999999930561	
	Epair	6603.084679469262	98238303.70299436	-0.0016367120023413144	-0.017858551620438444	-6603.084679438407	-9.983821593278579e-08	-3.3015295721943117e-06	-0.9999999999945441	
	Epair	6844.729327675418	98209331.27835825	-0.0016687111939937607	-0.018635741546276556	-6844.729327643311	-2.2010962145995888e-07	-3.2773105228417964e-06	-0.9999999999946045	
	Epair	6866.5953083753675	98205811.393398	-0.0016728416407527217	-0.018707746355917005	-6866.595308343142	-2.0216123552383714e-07	-3.291761521934747e-06	-0.9999999999945608	
	Epair	6919.91592377933	98204842.94810091	-0.0016919931658192326	-0.018880802026985947	-6919.91592374682	-4.960483752479141e-07	-3.2771229272219605e-06	-0.9999999999945063	
	Epair	6960.346642132107	98180074.07309222	-0.0017124638174896949	-0.019017575749840292	-6960.346642099361	-4.5391794165276226e-07	-3.484765531902167e-06	-0.9999999999938243	
	Epair	7432.839318792526	98178347.38090166	-0.0020164761184414143	-0.0203376164754717	-7432.839318757838	-5.588481084749029e-07	-2.8946920769204093e-06	-0.9999999999956533	
	Epair	7526.816796512199	97687455.3635935	-0.002048547800713736	-0.0206061878287187	-7526.816796477122	-8.295466824946288e-08	-2.804948455563727e-06	-0.9999999999960617	
	Epair	7527.241180259141	97686726.42147742	-0.0020485801932057196	-0.020607375853602176	-7527.241180224063	-7.684363920562819e-08	-2.794043657208357e-06	-0.9999999999960927	
	Epair	7657.3392426368555	97682345.00698534	-0.0020551816927855166	-0.02098738907228689	-7657.3392426012215	3.365517245394054e-08	-2.7766976354787206e-06	-0.9999999999961433	
	Epair	7801.714872812417	97680962.17648992	-0.0020624925762100835	-0.021368147941637813	-7801.714872776281	2.5368591167167186e-08	-2.7439487662186787e-06	-0.999999999996234	
	DeltaE	7895.261296643681	97679977.57465234	-0.002096817064209695	-0.02163652563724816	-7895.261296607153	-4.643316666430736e-07	-3.0214809621771963e-06	-0.9999999999953265	
